id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP
431830,2022,-23.6286631085083,-46.6709261447726,5,kilometer,371.0,"12147,63",13.0,14.0,17.0,11.0,55,04624-050
431831,2022,-23.6248107803694,-46.6693273077088,5,kilometer,344.0,"12759,84",16.0,12.0,11.0,10.0,49,04625-014
431832,2022,-23.6305486217263,-46.6671571740212,5,kilometer,372.0,"6150,53",15.0,10.0,11.0,11.0,47,04633-050
431835,2022,-23.63586372626,-46.671313706326494,5,kilometer,362.0,"7752,02",16.0,17.0,11.0,15.0,59,04623-050
431836,2022,-23.6338799406542,-46.6699501798723,5,kilometer,407.0,"1739,35",29.0,31.0,37.0,43.0,140,04633-050
431837,2022,-23.6329710139831,-46.67335644153,5,kilometer,453.0,"7220,12",14.0,32.0,32.0,30.0,108,04620-004
431838,2022,-23.6310488571326,-46.6754549397326,5,kilometer,306.0,"13643,02",13.0,15.0,17.0,13.0,58,04620-004
431839,2022,-23.6247084388718,-46.671746000399,5,kilometer,400.0,"15228,9",14.0,12.0,14.0,17.0,57,04617-014
431840,2022,-23.6222939311765,-46.67073837497591,5,kilometer,452.0,"16218,93",20.0,25.0,21.0,20.0,86,04610-003
431849,2022,-23.6370672899706,-46.6685333225539,5,kilometer,373.0,"6278,21",15.0,11.0,19.0,13.0,58,04362-000
431850,2022,-23.6401850877585,-46.671742261988,5,kilometer,448.0,"8090,96",11.0,14.0,17.0,20.0,62,04635-052
431851,2022,-23.641397568319,-46.6717715278976,5,kilometer,543.0,"9708,23",22.0,23.0,15.0,21.0,81,04635-052
431852,2022,-23.637648390061,-46.6733191650379,5,kilometer,257.0,"8441,2",7.0,9.0,15.0,14.0,45,04635-052
431853,2022,-23.6286974331208,-46.6826804766539,5,kilometer,438.0,"11048,53",14.0,34.0,31.0,22.0,101,04636-000
431854,2022,-23.6267290377156,-46.6805282934965,5,kilometer,406.0,"12695,13",21.0,23.0,20.0,22.0,86,04620-004
431855,2022,-23.6221708668732,-46.6743405991409,5,kilometer,312.0,"16677,5",19.0,20.0,14.0,18.0,71,04617-002
431920,2022,-23.6220638062031,-46.672737296581694,5,kilometer,237.0,"8579,82",3.0,9.0,8.0,12.0,32,04617-000
431921,2022,-23.6209451213855,-46.6716632564646,5,kilometer,435.0,"10043,33",16.0,12.0,12.0,11.0,51,04610-003
431922,2022,-23.6193018324363,-46.671565969199904,5,kilometer,296.0,"14744,06",11.0,10.0,12.0,18.0,51,04614-013
431928,2022,-23.6400059634019,-46.6680669370851,5,kilometer,323.0,"7246,45",9.0,12.0,8.0,16.0,45,04362-000
431929,2022,-23.641537724343,-46.6737025805389,5,kilometer,317.0,"6365,98",6.0,20.0,13.0,6.0,45,04635-052
431930,2022,-23.631663653891,-46.6816551394705,5,kilometer,303.0,"5234,64",13.0,13.0,12.0,15.0,53,04623-050
431931,2022,-23.6263967135344,-46.6853787282007,5,kilometer,301.0,"22933,93",7.0,15.0,15.0,20.0,57,04602-000
431932,2022,-23.6227388366205,-46.6841170350916,5,kilometer,216.0,"40136,19",11.0,8.0,5.0,8.0,32,04702-000
431933,2022,-23.6230928123882,-46.6813383023315,5,kilometer,354.0,"10843,62",13.0,11.0,19.0,6.0,49,04602-002
431936,2022,-23.6178732669179,-46.6771324301575,5,kilometer,424.0,"18226,11",14.0,10.0,22.0,19.0,65,04617-000
431937,2022,-23.6162900307423,-46.675371986984494,5,kilometer,225.0,"14911,77",,6.0,5.0,20.0,31,04614-012
431938,2022,-23.6168848856063,-46.672885063079,5,kilometer,311.0,"13329,35",22.0,20.0,17.0,7.0,66,04610-004
431939,2022,-23.6191088220988,-46.6729864313087,5,kilometer,206.0,"17189,62",3.0,8.0,5.0,4.0,20,04617-012
431940,2022,-23.6163717196581,-46.6786769922242,5,kilometer,519.0,"16631,95",16.0,10.0,16.0,20.0,62,04615-000
431941,2022,-23.6120117536099,-46.6762359325566,5,kilometer,211.0,"9818,23",9.0,8.0,10.0,14.0,41,04614-010
431942,2022,-23.6133759880769,-46.6739037570623,5,kilometer,448.0,"15223,82",27.0,16.0,19.0,31.0,93,04605-000
431945,2022,-23.6271479881567,-46.669951981774304,5,kilometer,401.0,"16023,46",12.0,19.0,22.0,37.0,90,04624-080
431946,2022,-23.6258977369247,-46.6708524760713,5,kilometer,319.0,"12802,29",16.0,9.0,8.0,15.0,48,04617-020
431948,2022,-23.6368892673638,-46.6700343129047,5,kilometer,163.0,"6769,06",4.0,7.0,8.0,10.0,29,04633-050
431949,2022,-23.6345041608038,-46.6727882834882,5,kilometer,337.0,"8164,57",8.0,22.0,7.0,18.0,55,04620-004
431950,2022,-23.6241181377348,-46.6701870700158,5,kilometer,243.0,"8311,76",5.0,9.0,8.0,8.0,30,04625-014
431951,2022,-23.6225765428024,-46.6692363972781,5,kilometer,240.0,"7880,82",3.0,10.0,6.0,10.0,29,04616-004
431956,2022,-23.636556532678,-46.6756961714021,5,kilometer,434.0,"11463,29",7.0,18.0,26.0,19.0,70,04636-001
431957,2022,-23.6230914362829,-46.6714600815635,5,kilometer,192.0,"12618,42",12.0,6.0,6.0,4.0,28,04608-010
